URI_PATTERN_ID	URI_PATTERN_NAME	URI_PATTERN	VERSION	IS_DELETED	CREATED_BY	CREATED_AT	UPDATED_BY	UPDATED_AT
1000001	TOP	/taskall-v2/service/top.html	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-09-22 00:00:00
1000101	エラーページ	/taskall-v2/service/error.html	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-09-22 00:00:00
1000201	マイページ	/taskall-v2/service/myPage.html	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-09-22 00:00:00
1000301	DBメンテナンス	/taskall-v2/service/dbMainte.html	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-09-22 00:00:00
1000401	テーブル定義参照	/taskall-v2/service/tableDefRef.html	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-11-02 00:00:00
1000501	テーブルデータメンテナンス	/taskall-v2/service/tableDataMainte.html	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-09-22 00:00:00
1000601	DB構成更新確認	/taskall-v2/service/updateDbConfirm.html	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-09-22 00:00:00
1000701	DB構成更新	/taskall-v2/service/updateDb.html	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-09-22 00:00:00
1000801	DB構成更新完了	/taskall-v2/service/updateDbComplete.html	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-09-22 00:00:00
1000901	DB構成取得確認	/taskall-v2/service/getDbConfirm.html	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-09-22 00:00:00
1001001	DB構成取得	/taskall-v2/service/getDb.html	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-09-22 00:00:00
1001101	DB構成取得完了	/taskall-v2/service/getDbComplete.html	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-09-22 00:00:00
1001201	新規レコード追加	/taskall-v2/service/tableDataMainte/newRecord.html	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-09-22 00:00:00
1001301	レコード削除	/taskall-v2/service/tableDataMainte/deleteRecord.html	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-09-22 00:00:00
1001401	レコード編集	/taskall-v2/service/tableDataMainte/editRecord.html	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-09-22 00:00:00
1001501	レコード一覧に戻る	/taskall-v2/service/tableDataMainte.html?tableName=#{tableName}	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-09-22 00:00:00
1001601	未実装ページ	/taskall-v2/service/notImplemented.html	1	0	data_loader	2024-09-22 00:00:00	data_loader	2024-09-22 00:00:00
1001701	テーブルレコード参照	/taskall-v2/service/recordRef.html	1	0	data_loader	2024-09-23 00:00:00	data_loader	2024-10-14 00:00:00
1002001	テーブル定義参照(一覧用リンク)	/taskall-v2/service/tableDefRef.html?tableName=#{TABLE_NAME}	1	0	data_loader	2026-07-28 00:00:00	data_loader	2026-07-28 00:00:00
1002101	テーブルデータメンテナンス(一覧用リンク)	/taskall-v2/service/tableDataMainte.html?tableName=#{TABLE_NAME}	1	0	data_loader	2026-07-28 00:00:00	data_loader	2026-07-28 00:00:00
1002201	二段階認証(二次認証コード入力)	/taskall-v2/service/twoFactorAuth.html	1	0	data_loader	2026-07-31 00:00:00	data_loader	2026-07-31 00:00:00
1002301	パスワード再設定(メールアドレス入力)	/taskall-v2/service/inputMail.html	1	0	data_loader	2026-08-12 00:00:00	data_loader	2026-08-12 00:00:00
1002401	パスワード再設定(6桁コード入力)	/taskall-v2/service/resetPasscode.html	1	0	data_loader	2026-08-12 00:00:00	data_loader	2026-08-12 00:00:00
1002501	サインアップ(メールアドレス・パスワード入力)	/taskall-v2/service/signUp.html	1	0	data_loader	2026-08-18 00:00:00	data_loader	2026-08-18 00:00:00
1002601	サインアップ(6桁コード入力)	/taskall-v2/service/signUpPasscode.html	1	0	data_loader	2026-08-18 00:00:00	data_loader	2026-08-18 00:00:00
1002701	案件情報	/taskall-v2/service/ankenList.html	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
